| Contract                    | Runtime Size (B) | Initcode Size (B) | Runtime Margin (B) | Initcode Margin (B) |
|-----------------------------|------------------|-------------------|--------------------|---------------------|
| Address                     |               58 |                87 |             24,518 |              49,065 |
| AggregateRouter.0.8.17      |           13,819 |            14,414 |             10,757 |              34,738 |
| AggregateRouter.0.8.27      |           13,857 |            14,523 |             10,719 |              34,629 |
| Allowance                   |               58 |                87 |             24,518 |              49,065 |
| AllowanceTransfer           |            7,918 |             8,181 |             16,658 |              40,971 |
| BytesLib.0.8.17             |               58 |                87 |             24,518 |              49,065 |
| BytesLib.0.8.27             |               58 |                87 |             24,518 |              49,065 |
| Commands.0.8.17             |               58 |                87 |             24,518 |              49,065 |
| Commands.0.8.27             |               58 |                87 |             24,518 |              49,065 |
| Constants.0.8.17            |               58 |                87 |             24,518 |              49,065 |
| Constants.0.8.27            |               58 |                87 |             24,518 |              49,065 |
| EIP712                      |              408 |               599 |             24,168 |              48,553 |
| ERC1967Proxy                |              145 |               721 |             24,431 |              48,431 |
| ERC1967Utils                |               58 |                87 |             24,518 |              49,065 |
| EnumerableSet               |               58 |                87 |             24,518 |              49,065 |
| ExampleModule               |              335 |               362 |             24,241 |              48,790 |
| KatanaGovernance            |           11,049 |            11,265 |             13,527 |              37,887 |
| KatanaImmutables.0.8.17     |               58 |               347 |             24,518 |              48,805 |
| KatanaImmutables.0.8.27     |               58 |               363 |             24,518 |              48,789 |
| KatanaV2Library.0.8.17      |               58 |                87 |             24,518 |              49,065 |
| KatanaV2Library.0.8.27      |               58 |                87 |             24,518 |              49,065 |
| LockAndMsgSender.0.8.17     |               58 |               102 |             24,518 |              49,050 |
| LockAndMsgSender.0.8.27     |               58 |               102 |             24,518 |              49,050 |
| MockERC20.0.8.17            |            3,740 |             4,898 |             20,836 |              44,254 |
| MockERC20.0.8.27            |            3,598 |             4,736 |             20,978 |              44,416 |
| PaymentsImmutables.0.8.17   |               58 |               266 |             24,518 |              48,886 |
| PaymentsImmutables.0.8.27   |               58 |               270 |             24,518 |              48,882 |
| Permit2                     |           11,340 |            11,603 |             13,236 |              37,549 |
| PermitHash                  |            1,483 |             1,515 |             23,093 |              47,637 |
| ProxyAdmin                  |            1,476 |             1,692 |             23,100 |              47,460 |
| SafeCast.0.8.17             |               58 |                87 |             24,518 |              49,065 |
| SafeCast.0.8.27             |               58 |                87 |             24,518 |              49,065 |
| SafeCast160.0.8.17          |               58 |                87 |             24,518 |              49,065 |
| SafeCast160.0.8.27          |               58 |                87 |             24,518 |              49,065 |
| SafeTransferLib.0.8.17      |               58 |                87 |             24,518 |              49,065 |
| SafeTransferLib.0.8.27      |               58 |                87 |             24,518 |              49,065 |
| SignatureTransfer           |            7,038 |             7,301 |             17,538 |              41,851 |
| SignatureVerification       |               58 |                87 |             24,518 |              49,065 |
| StorageSlot                 |               58 |                87 |             24,518 |              49,065 |
| TestCustomErrors            |               58 |                83 |             24,518 |              49,069 |
| TransparentUpgradeableProxy |            1,223 |             3,788 |             23,353 |              45,364 |
| V3Path.0.8.17               |               58 |                87 |             24,518 |              49,065 |
| V3Path.0.8.27               |               58 |                87 |             24,518 |              49,065 |
